iter	Passed	Remaining
401	13508	20094
402	13546	20068
403	13578	20031
404	13613	20000
405	13652	19974
406	13686	19941
407	13733	19926
408	13765	19891
409	13798	19856
410	13829	19819
411	13862	19783
412	13891	19744
413	13923	19708
414	13956	19673
415	13987	19636
416	14017	19598
417	14054	19568
418	14102	19555
419	14149	19539
420	14191	19517
421	14254	19523
422	14312	19523
423	14358	19506
424	14404	19488
425	14460	19484
426	14525	19491
427	14631	19554
428	14764	19651
429	14875	19719
430	14953	19741
431	15027	19758
432	15096	19768
433	15163	19775
434	15217	19765
435	15267	19749
436	15323	19741
437	15363	19712
438	15403	19683
439	15444	19656
440	15491	19636
441	15533	19609
442	15576	19585
443	15626	19567
444	15677	19552
445	15725	19533
446	15766	19505
447	15820	19492
448	15862	19466
449	15915	19452
450	15964	19433
451	16008	19408
452	16040	19369
453	16072	19329
454	16106	19292
455	16146	19262
456	16190	19237
457	16223	19198
458	16258	19163
459	16297	19132
460	16335	19098
461	16369	19062
462	16401	19023
463	16434	18985
464	16472	18952
465	16508	18917
466	16549	18888
467	16601	18871
468	16645	18846
469	16695	18826
470	16738	18799
471	16783	18774
472	16839	18761
473	16880	18732
474	16930	18713
475	16966	18677
476	17007	18647
477	17043	18612
478	17086	18584
479	17126	18554
480	17177	18534
481	17222	18508
482	17263	18478
483	17310	18454
484	17357	18431
485	17396	18399
486	17444	18375
487	17489	18349
488	17526	18315
489	17568	18285
490	17602	18247
491	17634	18207
492	17663	18165
493	17695	18125
494	17734	18092
495	17787	18074
496	17835	18051
497	17896	18039
498	17941	18013
499	17982	17982
500	18022	17950
501	18071	17927
502	18119	17903
503	18166	17877
504	18209	17849
505	18243	17810
506	18274	17770
507	18305	17729
508	18338	17689
509	18372	17652
510	18405	17612
511	18435	17571
512	18467	17531
513	18497	17489
514	18528	17448
515	18559	17408
516	18589	17367
517	18621	17327
518	18650	17285
519	18681	17244
520	18725	17215
521	18760	17179
522	18793	17140
523	18824	17100
524	18855	17059
525	18890	17023
526	18928	16988
527	18958	16947
528	18990	16908
529	19020	16866
530	19049	16825
531	19082	16787
532	19113	16747
533	19144	16706
534	19173	16664
535	19204	16624
536	19238	16587
537	19270	16548
538	19301	16508
539	19333	16469
540	19364	16429
541	19395	16389
542	19433	16355
543	19464	16316
544	19497	16277
545	19527	16237
546	19560	16198
547	19591	16159
548	19621	16118
549	19653	16080
550	19683	16039
551	19714	16000
552	19746	15961
553	19777	15922
554	19810	15883
555	19845	15848
556	19877	15809
557	19909	15770
558	19955	15743
559	19994	15709
560	20036	15679
561	20084	15652
562	20124	15620
563	20160	15584
564	20205	15556
565	20232	15513
566	20258	15470
567	20298	15438
568	20334	15402
569	20379	15373
570	20427	15347
571	20492	15333
572	20541	15307
573	20587	15279
574	20636	15253
575	20697	15235
576	20749	15211
577	20795	15182
578	20845	15156
579	20886	15124
580	20936	15098
581	20971	15062
582	21008	15026
583	21041	14988
584	21071	14947
585	21103	14909
586	21135	14870
587	21167	14831
588	21200	14793
589	21231	14754
590	21262	14714
591	21293	14675
592	21324	14635
593	21353	14595
594	21384	14555
595	21415	14516
596	21447	14478
597	21482	14441
598	21519	14405
599	21557	14371
600	21592	14335
601	21623	14296
602	21656	14258
603	21695	14224
604	21731	14188
605	21765	14151
606	21799	14114
607	21833	14076
608	21864	14037
609	21895	13998
610	21926	13959
611	21961	13923
612	21991	13883
613	22030	13849
614	22063	13811
615	22096	13774
616	22128	13736
617	22161	13698
618	22192	13659
619	22224	13621
620	22254	13582
621	22285	13543
622	22316	13504
623	22346	13465
624	22377	13426
625	22407	13387
626	22437	13348
627	22470	13310
628	22502	13272
629	22537	13236
630	22570	13199
631	22601	13160
632	22632	13121
633	22663	13083
634	22694	13045
635	22726	13007
636	22755	12967
637	22794	12933
638	22832	12899
639	22864	12861
640	22896	12823
641	22929	12786
642	22966	12751
643	23013	12721
644	23060	12692
645	23106	12662
646	23144	12627
647	23198	12601
648	23249	12574
649	23290	12540
650	23329	12507
651	23372	12474
652	23412	12441
653	23461	12412
654	23504	12380
655	23545	12346
656	23614	12328
657	23664	12300
658	23717	12272
659	23769	12244
660	23814	12213
661	23862	12183
662	23903	12149
663	23947	12117
664	23990	12085
665	24028	12050
666	24074	12019
667	24134	11995
668	24186	11966
669	24240	11939
670	24288	11908
671	24334	11877
672	24377	11844
673	24425	11814
674	24466	11780
675	24518	11751
676	24558	11717
677	24615	11690
678	24666	11661
679	24718	11632
680	24756	11596
681	24807	11566
682	24853	11535
683	24896	11502
684	24929	11463
685	24961	11425
686	24994	11387
687	25026	11349
688	25057	11310
689	25087	11271
690	25121	11233
691	25163	11200
692	25194	11161
693	25225	11122
694	25256	11083
695	25286	11044
696	25317	11006
697	25350	10968
698	25379	10929
699	25414	10892
700	25445	10853
701	25476	10815
702	25508	10776
703	25538	10737
704	25570	10699
705	25603	10662
706	25632	10622
707	25670	10587
708	25709	10552
709	25742	10514
710	25775	10476
711	25807	10438
712	25839	10401
713	25876	10365
714	25916	10330
715	25957	10296
716	25996	10260
717	26029	10223
718	26070	10188
719	26111	10154
720	26147	10118
721	26196	10086
722	26235	10051
723	26280	10018
724	26323	9984
725	26364	9950
726	26403	9914
727	26455	9884
728	26508	9854
729	26556	9822
730	26596	9787
731	26636	9752
732	26672	9715
733	26707	9678
734	26738	9640
735	26774	9604
736	26809	9566
737	26840	9528
738	26870	9490
739	26901	9451
740	26931	9413
741	26965	9376
742	27003	9340
743	27034	9302
744	27067	9264
745	27098	9226
746	27135	9190
747	27171	9154
748	27222	9122
749	27259	9086
750	27292	9048
751	27327	9012
752	27357	8973
753	27389	8936
754	27420	8898
755	27455	8861
756	27490	8824
757	27523	8787
758	27562	8751
759	27602	8716
760	27635	8679
761	27668	8641
762	27707	8606
763	27744	8570
764	27781	8534
765	27810	8495
766	27842	8457
767	27873	8420
768	27902	8381
769	27933	8343
770	27964	8305
771	27992	8267
772	28024	8229
773	28055	8191
774	28087	8154
775	28118	8116
776	28150	8079
777	28180	8041
778	28211	8003
779	28250	7968
780	28281	7930
781	28311	7892
782	28343	7854
783	28373	7817
784	28405	7779
785	28435	7742
786	28467	7704
787	28497	7666
788	28529	7629
789	28559	7591
790	28589	7554
791	28620	7516
792	28651	7479
793	28683	7441
794	28713	7404
795	28749	7367
796	28780	7330
797	28811	7293
798	28845	7256
799	28881	7220
800	28919	7184
801	28957	7149
802	28998	7114
803	29032	7077
804	29072	7042
805	29112	7007
806	29151	6971
807	29194	6937
808	29229	6900
809	29275	6867
810	29308	6830
811	29339	6792
812	29370	6755
813	29401	6718
814	29432	6680
815	29463	6643
816	29494	6606
817	29524	6568
818	29554	6531
